,國際證券辨識號碼,上市日,市場別,產業別,CFICode,備註,股票代號,股票名稱,類型
1850,TW0005452007,2000/10/02,上櫃,其他電子業,ESVUFR,,5452,佶優,股票
1851,TW0005455000,2000/10/19,上櫃,建材營造業,ESVUFR,,5455,昇益,股票
1852,TW0005457006,2000/09/29,上櫃,電子零組件業,ESVUFR,,5457,宣德,股票
1853,TW0005460000,2000/09/28,上櫃,電子零組件業,ESVUFR,,5460,同協,股票
1854,TW0005464002,2000/11/08,上櫃,電子零組件業,ESVUFR,,5464,霖宏,股票
1855,TW0005465009,2000/11/08,上櫃,電腦及週邊設備業,ESVUFR,,5465,富驊,股票
1856,TW0005468003,2001/01/17,上櫃,半導體業,ESVUFR,,5468,凱鈺,股票
1857,TW0005474001,2001/03/20,上櫃,電腦及週邊設備業,ESVUFR,,5474,聰泰,股票
1858,TW0005475008,2001/01/16,上櫃,電子零組件業,ESVUFR,,5475,德宏,股票
1859,TW0005478002,2001/03/29,上櫃,文化創意業,ESVUFR,,5478,智冠,股票
1860,TW0005481006,2020/06/01,上櫃,其他業,ESVUFR,,5481,新華,股票
1861,TW0005483002,2001/03/02,上櫃,半導體業,ESVUFR,,5483,中美晶,股票
1862,TW0005487003,2001/02/20,上櫃,半導體業,ESVUFR,,5487,通泰,股票
1863,TW0005488001,2001/03/12,上櫃,電子零組件業,ESVUFR,,5488,松普,股票
1864,TW0005489009,2001/03/12,上櫃,其他電子業,ESVUFR,,5489,彩富,股票
1865,TW0005490007,2001/05/14,上櫃,電腦及週邊設備業,ESVUFR,,5490,同亨,股票
1866,TW0005493001,2001/05/03,上櫃,其他電子業,ESVUFR,,5493,三聯,股票
1867,TW0005498000,2001/03/29,上櫃,電子零組件業,ESVUFR,,5498,凱崴,股票
1868,TW0005508006,1998/05/13,上櫃,建材營造業,ESVUFR,,5508,永信建,股票
1869,TW0005511000,1998/12/09,上櫃,建材營造業,ESVUFR,,5511,德昌,股票
1870,TW0005512008,1998/12/04,上櫃,建材營造業,ESVUFR,,5512,力麒,股票
1871,TW0005514004,1998/12/29,上櫃,建材營造業,ESVUFR,,5514,三豐,股票
1872,TW0005516009,1999/03/23,上櫃,建材營造業,ESVUFR,,5516,雙喜,股票
1873,TW0005520001,1999/10/27,上櫃,建材營造業,ESVUFR,,5520,力泰,股票
1874,TW0005523005,1999/12/27,上櫃,建材營造業,ESVUFR,,5523,豐謙,股票
1875,TW0005529002,1996/01/12,上櫃,建材營造業,ESVUFR,,5529,鉅陞,股票
1876,TW0005530000,2000/10/04,上櫃,其他業,ESVUFR,,5530,龍巖,股票
1877,TW0005536007,2010/11/10,上櫃,其他電子業,ESVUFR,,5536,聖暉*,股票
1878,KYG1676E1035,2016/05/09,上櫃,建材營造業,ESVUFR,,5543,桓鼎-KY,股票
1879,TW0005548002,2024/03/18,上櫃,建材營造業,ESVUFR,,5548,安倉,股票
1880,TW0005601009,1994/11/24,上櫃,航運業,ESVUFR,,5601,台聯櫃,股票
1881,TW0005603005,1997/01/25,上櫃,航運業,ESVUFR,,5603,陸海,股票
1882,TW0005604003,1997/05/22,上櫃,其他業,ESVUFR,,5604,中連,股票
1883,TW0005609002,2001/10/15,上櫃,航運業,ESVUFR,,5609,中菲行,股票
1884,TW0005701007,1998/03/12,上櫃,觀光餐旅,ESVUFR,,5701,劍湖山,股票
1885,TW0005703003,1999/06/15,上櫃,觀光餐旅,ESVUFR,,5703,亞都,股票
1886,TW0005704001,1999/12/21,上櫃,觀光餐旅,ESVUFR,,5704,老爺知,股票
1887,TW0005864003,2018/04/02,上櫃,金融保險業,ESVUFR,,5864,致和證,股票
1888,TW0005878003,2014/10/28,上櫃,金融保險業,ESVUFR,,5878,台名,股票
1889,TW0005902001,1998/02/07,上櫃,居家生活,ESVUFR,,5902,德記,股票
1890,TW0005903009,2002/02/25,上櫃,居家生活,ESVUFR,,5903,全家,股票
1891,TW0005904007,2002/09/06,上櫃,居家生活,ESVUFR,,5904,寶雅,股票
1892,TW0005905004,2003/06/17,上櫃,觀光餐旅,ESVUFR,,5905,南仁湖,股票
1893,TW0006015001,1996/07/25,上櫃,金融保險業,ESVUFR,,6015,宏遠證,股票
1894,TW0006016009,1996/12/04,上櫃,金融保險業,ESVUFR,,6016,康和證,股票
1895,TW0006020001,2003/01/23,上櫃,金融保險業,ESVUFR,,6020,大展證,股票
